,title,subtitle,author,publication_date,language,genre,resource_type,creation_date
2902,first five books of madrigals for mixed voices in five parts,NaN,"[[""D'India, Sigismondo""], ['Steele, John'], ['Court, Suzanne.'], ['Reynolds, Barbara']]",2000,Italian,"['Madrigals (Music)', 'Scores']",notated music,1998
2903,Guide to South African reference books,,"[['Musiker, Reuben'], ['Musiker, Naomi']]",,English,"['bibliography', 'Bibliographies']",text,1996
2904,This sceptred isle,NaN,"Lee, Christopher.",,English,History,text,1998
2905,Within the context of no context,,"Trow, George W. S.",1997,English,"['biography', 'Annotations (Provenance)-20th century.']",text,1996
2906,Man of the century,,"Kwitny, Jonathan",,English,"['bibliography', 'biography', 'collective biographies.', 'Biographies', 'Biographies', 'Biographies.']",text,1997
2907,outrageous idea of Christian scholarship,,"Marsden, George M.",,English,bibliography,text,1996
2908,good death,,"Webb, Marilyn",,English,bibliography,text,1997
2909,Children & books,NaN,"[['Sutherland, Zena.'], ['Hyman, Trina Schart']]",1997,English,"['bibliography', 'Criticism, interpretation, etc.']",text,1996
2910,Christian kabbalah,Jewish mystical books & their Christian interpreters : a symposium,"[['Dan, Joseph'], ['Houghton Library']]",,English,"['bibliography', 'conference publication', 'exhibition catalogs.', 'Bibliographies', 'Exhibition catalogs', 'Conference papers and proceedings', 'Exhibition catalogs', ""Catalogues d'exposition.""]",text,1998
2911,Spare change,,"Pilkington, Kevin.",1997,English,NaN,text,1997
2912,Three thousand years of Chinese painting,NaN,"Barnhart, Richard M.",1997,English,bibliography,text,1997
2913,Babel guide to German fiction in English translation,"Austria, Germany, Switzerland","[['Keenoy, Ray'], ['Mitchell, Mike'], ['Meinhardt, Maren'], ['Mitchell, Mike']]",,English,"['bibliography', 'Book reviews']",text,1997
2914,200 of the best songs from jazz of the '50s,NaN,"DuBoff, Rob",1997,English,"['Jazz', 'Fakebooks (Music)', 'Jazz', 'Fakebooks (Music)', 'Jazz.', 'Recueils de standards.']",notated music,1999
2915,Weeding library collections,,"Slote, Stanley J.",,English,"['bibliography', 'bibliography.', 'glossary.', 'textbook.', 'bibliographie.', 'glossaire.', ""manuel d'enseignement."", 'bibliografía.', 'glosario.', 'libro de texto.']",text,1996
2916,There is an ocean,,"[['Beckman, Joshua'], [""Women's Studio Workshop""], ['Press Collection (Library of Congress)']]",1997,English,"['text', ""Artists' books-New York (State)-Rosendale.""]",text,2012
2917,Design and analysis of single-case research,,"[['Franklin, Ronald D.'], ['Allison, David B.'], ['Gorman, Bernard S.'], ['Allison, David B. (David Bradley)']]",,English,bibliography,text,1996
2918,Architecture of empowerment,,"Serageldin, Ismail",,English,bibliography,text,1997
2919,Tropic of orange,,"Yamashita, Karen Tei",1997,English,"['Fantasy fiction', 'Fantasy fiction', 'Fiction']",text,1997
2920,Bestiary,,"Dunmore, Helen",,English,NaN,text,1997
2921,Great Benin,,"Ọmọregie, Osarẹn S. B.",9999,English,History,text,1999
2922,Zemli︠a︡ Pleset︠s︡kai︠a︡,,"Makarov, Nikolaĭ.",,Russian,"['bibliography', 'History']",text,1999
2923,Consolidating the third wave democracies,,"Diamond, Larry Jay",,English,"['bibliography', 'History']",text,1998
