,title,subtitle,author,publication_date,languge,genre
3576,"Arnobius Iunior, Praedestatus",NaN,S,2022,English,"['bibliography', 'text', 'Early works']"
3577,AWOL,NaN,L,2022,English,"['text', 'still image', 'Graphic novels', 'graphic novels.', 'Juvenile works', 'Fiction', 'Domestic comics', 'Comics (Graphic works)', 'Graphic novels', ""Children's stories-Comic books, strips, etc."", 'Graphic novels', 'Domestic comics', 'Romans graphiques.', 'Bandes dessinées familiales.']"
3578,Ḳrig oyf di hoyz,NaN,"[['Peʼer, H.'], ['Zikhl, Esti'], ['פאר, ה.'], ['זיכל, אסתי.']]",2022,Yiddish,"['text', 'still image', 'Jewish religious fiction.', 'Comics (Graphic works)', 'Juvenile works', 'Fiction', 'Comics (Graphic works)', 'Bandes dessinées.']"
3579,PP Bazhov,graficheskiĭ roman,"[['Belousova, M. (Marina)'], ['Mati︠a︡zh, Pavel']]",2022,Russian,"['biography', 'still image', 'text', 'Biographical fiction', 'Comics (Graphic works)', 'Biographical fiction']"
3580,Yokohama kaidashi kikou ,NaN,"[['Ashinano, Hitoshi,'], ['Komen, Daniel'], ['Davis, Dawn,'], ['Sacramento, Ludwig']]",2024,English,"['text', 'still image', 'Graphic Novel', 'Fictional Work', 'graphic novels.', 'Apocalyptic fiction', 'Comics (Graphic works)', 'Fiction', 'Graphic novels', 'Manga', 'Apocalyptic fiction', 'Graphic novels', 'Romans graphiques.', 'Romans.']"
3581,Monetary transitions,,P,2022,English,"['bibliography', 'text', 'History']"
3582,Battle for the American mind,uprooting a century of miseducation,"[['Hegseth, Pete'], ['Goodwin, David']]",2022,English,"['bibliography', 'text']"
3583,What is dark matter?,,"Fisher, Peter",2022,English,"['bibliography', 'text', 'Informational works', ""Documents d'information.""]"
3584,On digital architecture in ten books,,"[['Hovestadt, Ludger'], ['Bühlmann, Vera']]",2022,English,text
3585,Ghost of the Hardy boys,,"[['McFarlane, Leslie'], ['Greenwald, Marilyn S.']]",2022,English,"['bibliography', 'biography', 'text', 'autobiographies (literary works)', 'Autobiographies', 'Biographies', 'Autobiographies', 'Autobiographies.']"
3586,Mind over margins,,"[['Horner, Rebecca'], ['Macdonald, Anna'], ['Malenoir, Rae']]",2022,English,"['text', 'still image', 'Comics (Graphic works)', 'Graphic novels', 'Graphic medicine (Comics)', 'Bandes dessinées médicales.']"
3587,Philosophy of comics,,"[['Cowling, Sam'], ['Cray, Wesley']]",2022,English,"['bibliography', 'text', 'Criticism, interpretation, etc.', 'Literary criticism', 'Literary criticism', 'Critiques littéraires.']"
3588,California women of the private press,,"[['Walkup, Kathy'], ['Book Club of California'], ['Lemoncheese Press'], ['Coast Litho (Firm)']]",2022,English,"['bibliography', 'text', 'still image', 'Typefaces (Type evidence)-Hesse Antiqua.', 'Typefaces (Type evidence)-Alcuin.', 'Typefaces (Type evidence)-Tiepolo.', ""printer's marks."", 'Keepsakes.']"
3589,Untitled #2319-B-DMF,NaN,"[['Hido, Todd'], ['Nazraeli Press']]",2022,English,"['text', 'still image', 'photobooks.', ""artists' books (books)"", 'color prints (photographs)', 'photographs.', ""Artists' books"", 'Photobooks', 'Pictorial works', 'Photobooks', ""Artists' books"", 'Photographs', 'Livres de photographies.', ""Livres d'artistes."", 'Photographies.']"
3590,medieval bestiary in English,texts and translations of the Old and Middle English Physiologus,"[['Cavell, Megan'], ['British Library']]",2022,English,"['bibliography', 'text', 'still image', 'Poetry', 'bestiaries.', 'poetry.', 'Early works', 'Poetry', 'Translations', 'Bestiaries', 'Poetry', 'Bestiaires.', 'Poésie.']"
3591,"Mary Heilmann, The all night movie ",NaN,"[['Heilmann, Mary,'], ['Magill, Mark'], ['Koether, Jutta'], ['Primary Information (Organization)']]",2022,English,"['bibliography', 'biography', 'still image', 'text', 'autobiographies (literary genre)', ""artists' books (books)"", 'Biographies', ""Artists' books"", 'Autobiographies', 'Specimens', 'Autobiographies.', ""Artists' books"", 'Autobiographies.', ""Livres d'artistes.""]"
3592,Angliĭskai︠a︡ kniga v Rossii v pervoĭ polovine XVIII veka,NaN,"[['Khoteev, P. I. (Pavel Ivanovich)'], ['Rossiĭskai︠a︡ akademii︠a︡ nauk'], ['Хотеев, П. И. (Павел Иванович)'], ['Российская академия наук']]",2022,Russian,"['bibliography', 'text', 'Catalogs', 'History']"
3593,Cover treasure,,"[['Thing, Lowell'], ['Armstrong, Margaret'], ['Black Dome Press Corp']]",2022,English,"['bibliography', 'biography', 'text', 'still image', 'catalogs (documents)', 'Biographies', 'History', 'Biographies', 'Catalogs', 'Biographies.', 'Catalogues.']"
3594,Blacks and Jews in America,,"[['Johnson, Terrence L.'], ['Berlinerblau, Jacques']]",2022,English,"['bibliography', 'text']"
3595,Academic Publishing,,"[['Coniam, David'], ['Falvey, Peter']]",2022,English,text
3596,Wearing the wrong uniform,,"[['Pica, Noah'], ['Small Editions (Firm)']]",2022,English,"['text', 'still image', 'Sewing (needleworking technique)', 'cutouts.', 'prints (visual works)', 'laser prints.', 'stickers.', ""artists' books (books)"", 'Specimens', ""Artists' books"", 'Risographs', ""Artists' books"", 'Risographs', 'Prints.', 'Queer art.', 'Queer artists.', 'Spiral bindings.', 'Spiral bindings (Binding)', ""Artists' books-New York (State)-21st century."", ""Livres d'artistes."", 'Risographies.', 'Estampes.']"
3597,Inspired,"understanding creativity : a journey through art, science, and the soul",R,2022,English,"['text', 'Inspiration.', 'Psychology.', 'Self-help publications', 'Livres de croissance personnelle.']"
3598,Speaking volumes,,"Pearson, David",2022,English,"['bibliography', 'text', 'still image', 'History', 'History']"
3599,handbook of Persian calligraphy and related arts,NaN,"[['Qilīchʹkhānī, Ḥamīd Riz̤ā'], ['Stengel, Rebecca'], ['Farridnejad, Shervin']]",2022,English,"['globe', 'bibliography', 'text', 'still image', 'cartographic image', 'dictionaries.', 'Dictionaries', 'Dictionaries', 'Dictionnaires.']"
3600,Printing religion after the enlightenment,,"Stanley, Timothy",2022,English,"['bibliography', 'text', 'History']"
3601,five lives of Hilma af Klint,NaN,"[['Deines, Philipp'], ['Voss, Julia'], ['Stein, Renata'], ['Bittorf, Ruth']]",2022,English,"['biography', 'text', 'still image', 'cartographic image', 'Biographical comic books, strips, etc.', 'Graphic novels', 'Biographies', 'Biographical comics', 'Nonfiction comics', 'Graphic novels', 'Biographical comic books, strips, etc.', 'Graphic novels.', 'Bandes dessinées biographiques.', 'Bandes dessinées autres que de fiction.']"
3602,"Paper botanists cultivators of artifice, or, Botany depicted by the various arts of drawing, painting, nature printing, wood- & linocutting, etching, engraving, lithography, sun printing, photography, marbling, stencilling, punching, papercutting, & etc",NaN,"[['Hodgson, Barbara'], ['Hodgson, Barbara'], ['Cohen, Claudia'], ['Cohen, Claudia'], ['Byzantium Books'], ['Heavenly Monkey (Firm)']]",2022,English,"['bibliography', 'text', 'still image', 'cyanotypes (photographic prints)', 'nature prints.', 'etchings (prints)', 'engravings (prints)', 'woodcuts (prints)', 'plant specimens.', 'lithographs.', 'Drawings.', 'photographs.', 'fine press books.', 'plant material.', 'portfolios (containers)', ""artists' books (books)"", 'Pictorial works', ""Artists' books"", 'Etchings', 'Lithographs', 'Photographs', 'Clamshell boxes.', 'Limitation statements.', ""Livres d'artistes."", 'Empreintes naturelles.', 'Eaux-fortes (Gravures)', 'Gravures.', 'Lithographies.', 'Photographies.']"
3603,curator's Wunderkammer,a decade of collecting for the University of Virginia,"[['Whitesell, David R. (David Rhodes)'], ['Hill, Jeff (Jeffrey P.)'], ['Robertson, Holly'], ['Blankenbaker, Devon'], ['University of Virginia'], ['T&N Printing']]",2022,English,"['bibliography', 'text', 'still image', 'Bibliography', 'Exhibition', 'bibliographies.', 'exhibition catalogs.', 'Bibliographies', 'Catalogs', 'Exhibition catalogs', 'Bibliographies', 'Exhibition catalogs', ""Catalogues d'exposition."", 'Bibliographies.']"
3604,girl and the glim,NaN,"[['Swift, India'], ['Doig, Michael'], ['Otsmane-Elhaou, Hassan']]",2022,English,"['text', 'still image', 'Graphic novels', 'Comics (Graphic works)', 'Fantasy comics', 'Fantasy fiction', 'Fiction', 'Graphic novels', 'Juvenile works', 'Graphic novels', 'Comics (Graphic works)', 'Fantasy comics', 'Fantasy fiction', 'School comics', 'Bandes dessinées.', ""Bandes dessinées sur l'école.""]"
3605,Twentysix Wawa stores,NaN,"[['Weeks, Eric'], [""Street Road Artists' Space""], ['Street Road Press']]",2022,English,"['still image', 'text', 'photobooks.', 'Photobooks', 'Exhibition catalogs', 'Livres de photographies.']"
3606,department of rare books and special collections,,J,2022,English,"['text', 'Detective and mystery fiction', 'Detective and mystery fiction', 'Fiction', 'Mystery fiction', 'Detective and mystery fiction']"
3607,Inter-American Yearbook on Human Rights ,,I,2025,English,text
3608,Archiv für Geschichte des Buchwesens,,"[['Altenhein, Hans'], ['Benz, Stefan'], ['Biester, Björn'], ['Biester, Björn'], ['Duchhardt, Heinz'], ['Jaeger, Roland'], ['Kahl, Hannes'], ['Knoche, Michael'], ['Kurowsky, Sylvia'], ['Lauer, Gerhard'], ['Lehmstedt, Mark'], ['Lihs, Stephanie'], ['Links, Christoph'], ['Rebenich, Stefan'], ['Rößler, Hole'], ['Saltzwedel, Johannes'], ['Staniek, Carola'], ['Stienen, Daniel Benedikt'], ['Tiessen, Margarete'], ['Toomer, Gerald'], ['Ulmer, Konstantin'], ['Wittmann, Reinhard'], ['Wurm, Carsten'], ['Wurm, Carsten']]",2022,German,"['dictionary', 'government publication', 'text']"
3609,practice of judicial interaction in the field of fundamental rights,,"[['Casarosa, Federica'], ['Edward Elgar Publishing']]",2022,English,"['text', 'Electronic books.']"
3610,Incomplete international investment agreements,,"[['Park, Tae Jung'], ['Edward Elgar Publishing']]",2022,English,"['text', 'Electronic books.']"
3611,Climate to court,,"[['De Vilchez Moragues, Pau'], ['Edward Elgar Publishing']]",2022,English,"['bibliography', 'text', 'Electronic books.']"
3612,Corporate recovery in an integrated Europe,,"[['Lynch-Fannon, Irene'], ['Gant, Jennifer L.'], ['Finnerty, Aoife'], ['Edward Elgar Publishing']]",2022,English,"['bibliography', 'text', 'Electronic books.']"
3613,Trade regulation and policy in the EU internal market,an assessment through the services directive,"[['Maletić, Isidora'], ['Edward Elgar Publishing']]",2022,English,"['bibliography', 'text', 'Electronic books.']"
3614,international legal system as a system of knowledge,,"[['Linderfalk, Ulf'], ['Edward Elgar Publishing']]",2022,English,"['bibliography', 'text', 'Electronic books.']"
3615,Rituals of Initiation and Consecration in Premodern Japan,,"[['Abe, Ryūichi'], ['Castiglio, Andrea'], ['Chihiro, Inose'], ['Dolce, Lucia'], ['Groner, Paul'], ['Ikuyo, Matsumoto'], ['Keisuke, Unno'], ['Klein, Susan Blakeley'], ['Krug, Adam C.'], ['Masahide, Mori'], ['Porath, Or'], ['Porath, Or'], ['Rambelli, Fabio'], ['Rambelli, Fabio'], ['Satoshi, Itō'], ['Steavu, Dominic'], ['Tsuyoshi, Kawasaki'], ['White, David Gordon'], ['Yasurō, Abe'], ['Yoshiyuki, Tomishima']]",2022,English,"['dictionary', 'government publication', 'text']"
3616,Botany and gardens in early modern Ireland,,"[['Boran, Elizabethanne'], ['Nelson, E. Charles'], ['Lawlor, Emer']]",2022,English,"['bibliography', 'text', 'History']"
3617,Identifying moral panic,the discourse of fear in social policy,E,2022,English,"['bibliography', 'text']"
3618,pros and cons list for strong feelings,,"[['Betke-Brunswick, Will'], ['Tin House Publishing']]",2022,English,"['biography', 'text', 'still image', 'Biographies', 'Autobiographical comics', 'Coming-of-age comics', 'Genderqueer comics', 'Graphic novels', 'LGBTQ+ graphic novels.', 'LGBTQ+ comics.', 'LGBTQ+ fiction.', 'Coming-of-age comics', 'Genderqueer comics', 'Autobiographical comics', 'Graphic novels', 'Comics (Graphic works)', ""Bandes dessinées d'éducation."", 'Bandes dessinées de personnes non binaires.', 'Bandes dessinées autobiographiques.', 'Bandes dessinées.']"
3619,"Ėsse, literaturnai︠a︡ kritika, pisʹma",1932--1941,"[['Mandelʹshtam, I︠U︡rīĭ'], ['Dubrovina, Elena'], ['Мандельштам, Юрій'], ['Дубровина, Елена']]",2022,Russian,"['bibliography', 'text', 'personal correspondence.', 'Book reviews', 'Literary criticism', 'Personal correspondence', 'Book reviews', 'Literary criticism', 'Personal correspondence', 'Comptes rendus de livres.', 'Critiques littéraires.', 'Correspondance privée.']"
3620,Bungleton Green and the Mystic Commandos,NaN,"[['Jackson, Jay'], ['Heer, Jeet'], ['New York Review Books (Publisher)']]",2022,English,"['text', 'still image', 'Comics (Graphic works)', 'Superhero fiction', 'adventure story comics.', 'underground comics.', 'superhero comics.', 'Superhero fiction', 'Superhero comics', 'Science fiction comics', 'Action and adventure comics', 'Comics (Graphic works)', 'Underground comics', 'Superhero fiction', 'Superhero comics', 'Science fiction comics', 'Action and adventure comics', 'Underground comics', 'Comics (Graphic works)', ""Bandes dessinées d'aventures."", 'Bandes dessinées underground.', 'Bandes dessinées de superhéros.', 'Bandes dessinées de science-fiction.', 'Bandes dessinées.']"
3621,Nazad nelʹzi︠a︡,Iskra zhizni ; Kod ėmpatii,"[['Tarakanbiks'], ['Nechitaĭlo, Fedor'], ['Тараканбикс'], ['Нечитайло, Федор']]",2022,Russian,"['text', 'still image', 'Comics (Graphic works)']"
3622,Iran is More Than Persia,,S,2022,English,"['dictionary', 'government publication', 'text']"
3623,Como agua para ajolote,,"[['Naranjo Sandoval, Martha'], ['Artist Publishing Collection'], ['Dashwood Books']]",2022,English,"['text', 'still image', 'photobooks.', ""artists' books (books)"", ""Artists' books"", 'Photobooks', 'Photobooks', ""Artists' books"", 'Livres de photographies.', ""Livres d'artistes.""]"
3624,Won in Translation,,"[['Chartier, Roger'], ['Pollack, John H.']]",2022,English,"['dictionary', 'government publication', 'text']"
3625,Why we meditate,,"[['Goleman, Daniel'], ['Tsoknyi Rinpoche']]",2022,English,"['bibliography', 'text', 'Self-help publications', 'Self-help publications', 'Livres de croissance personnelle.']"
3626,"future of enriched, linked, open and filtered metadata",,"[['Alemu, Getaneh'], ['Facet Publishing']]",2022,English,"['bibliography', 'text']"
